71262	3.05
71269	3.75
71275	4.77
71279	7.92
71301	4.20
71302	3.91
71323	11.67
71324	1.32
71326	2.29
71335	1.75
71344	4.36
71349	1.62
71352	11.12
71354	0.72
71357	28.39
71384	5.83
71402	3.92
71409	12.62
71411	6.64
71415	14.06
71461	15.77
71467	0.33
71472	1.47
71495	23.81
71496	0.86
71508	10.57
71523	0.51
71535	1.03
71541	15.13
71545	4.79
71547	3.74
71549	0.15
71559	0.22
71571	7.13
71596	21.11
71615	14.85
71619	5.65
71632	2.04
71635	20.69
71646	29.48
71675	66.41
71697	3.50
71702	26.28
71708	63.90
71709	1.60
71710	8.29
71716	1.49
71717	1.28
71720	4.09
71730	0.46
71732	2.53
71733	5.30
71736	15.78
71740	2.17
71746	1.95
71750	1.28
71758	11.57
71776	6.78
71792	1.72
71797	30.24
71801	0.51
71806	16.02
71816	1.21
71820	1.21
71829	15.00
71831	2.60
71852	33.09
71857	12.14
71871	2.41
71880	1.17
71882	0.59
71883	0.65
71884	5.69
71885	6.92
71887	2.53
71892	8.04
71895	3.32
71902	1.35
71903	0.95
71904	3.36
71905	22.14
71906	2.04
71909	0.83
71917	2.33
71925	12.81
71930	0.50
71934	2.55
71963	0.30
71972	1.32
71976	0.61
71978	1.16
71979	2.20
71987	3.91
71995	9.34
72001	3.56
72003	1.78
72007	6.16
72023	0.36
72026	8.44
72028	3.47
72030	1.42
72032	1.78
72053	0.96
72057	2.14
72064	0.87
72073	0.91
72081	1.01
72103	36.48
72107	8.56
72119	1.30
72122	4.04
72126	5.17
72130	3.33
72141	5.49
72143	3.05
72152	3.96
72154	3.51
72155	61.49
72160	4.99
72161	11.49
72166	7.12
72167	5.17
72171	2.49
72175	6.16
72178	8.12
72179	3.83
72181	13.93
72188	4.74
72212	4.50
72232	11.17
72233	5.98
72258	2.66
72260	3.08
72263	0.65
72269	4.44
72274	5.41
72283	0.24
72285	4.22
72289	1.74
72299	4.91
72314	53.09
72321	6.64
72336	4.93
72344	1.15
72347	2.13
72350	6.47
72358	6.62
72359	3.22
72380	11.66
72387	0.91
72392	1.31
72402	2.58
72416	3.96
72423	0.17
72426	0.47
72441	0.80
72442	8.69
72447	3.13
72450	0.46
72457	2.09
72460	8.06
72462	2.44
72467	2.31
72469	11.51
72560	4.21
72572	13.51
72588	3.38
72596	4.07
72601	3.95
72611	3.05
72616	4.97
72637	3.08
72659	6.36
72666	10.49
72694	22.15
72697	4.93
72709	16.90
72711	12.37
72714	80.24
72715	57.08
72721	1.14
72722	3.49
72732	3.96
72745	0.18
72762	12.47
72790	0.12
72800	21.03
72811	0.10
72820	0.42
72831	3.42
72865	19.95
72885	4.30
72965	9.23
72970	24.49
72980	0.96
72998	8.98
73008	11.44
